seq	lat	long
900	-99.14	19.39
901	-100.405	25.73
902	-103.34	20.705
903	-99.21	19.485
904	-99.11	19.315
905	-99.14	19.44
906	-100.355	25.695
907	-99.15	19.355
908	-99.04	19.345
909	-100.375	25.67
910	-99.15	19.415
911	-99.26	19.395
912	-100.32	25.66
913	-103.34	20.635
914	-103.36	20.685
915	-103.38	20.65
916	-99.11	19.455
917	-99.105	19.26
918	-99.15	19.525
919	-99.135	19.415
920	-99.2	19.38
921	-99.08	19.42
922	-99.195	19.445
923	-99.12	19.465
924	-99.125	19.48
925	-103.375	20.705
926	-103.28	20.665
927	-99.21	19.305
928	-103.38	20.71
929	-100.32	25.69
930	-99.145	19.44
931	-99.12	19.33
932	-100.345	25.72
933	-100.405	25.74
934	-100.31	25.64
935	-99.2	19.495
936	-103.31	20.71
937	-100.235	25.585
938	-99.09	19.39
939	-99.125	19.415
940	-99.065	19.41
941	-99.125	19.345
942	-99.125	19.47
943	-99.13	19.29
944	-100.285	25.625
945	-99.105	41.717
946	-99.125	19.36
947	-103.39	20.65
948	-100.345	25.68
949	-99.06	19.33
950	-103.345	20.725
951	-99.225	19.35
952	-99.175	19.295
953	-99.115	19.37
954	-99.13	19.34
955	-99.2	19.45
956	-99.165	19.265
957	-99.13	19.33
958	-99.215	19.425
959	-99.195	19.485
960	-100.305	25.67
961	-103.395	20.635
962	-99.12	19.245
963	-99.13	19.385
964	-100.275	25.645
965	-103.315	20.695
966	-99.145	19.405
967	-99.135	19.39
968	-103.39	20.645
969	-99.11	19.26
970	-99.165	19.45
971	-99.115	19.33
972	-103.35	20.685
973	-99.01	19.345
974	-99.135	19.265
975	-99.125	19.29
976	-99.115	19.365
977	-99.2	19.28
978	-103.375	20.63
979	-103.315	20.675
980	-99.195	19.495
981	-99.18	19.355
982	-99.245	19.295
983	-100.365	25.77
984	-100.29	25.64
985	-99.145	19.465
986	-99.135	19.36
987	-99.13	19.38
988	-99.275	19.375
989	-99.145	19.38
990	-99.14	19.49
991	-99.115	19.445
992	-100.315	25.68
993	-99.135	19.32
994	-99.295	19.355
995	-99.095	19.245
996	-99.11	19.465
997	-100.335	25.67
998	-100.33	25.675
999	-99.225	19.37
1000	-99.17	19.445
1001	-100.36	25.68
1002	-99.06	41.748
1003	-100.305	25.64
1004	-103.23	20.615
1005	-99.135	19.335
1006	-99.07	19.375
1007	-100.31	25.685
1008	-99.18	19.475
1009	-99.14	19.47
1010	-103.39	20.72
1011	-100.365	25.72
1012	-99.175	19.355
1013	-99.105	19.37
1014	-103.325	20.685
1015	-100.4	25.73
1016	-99.13	41.717
1017	-99.125	19.44
1018	-99.12	19.45
1019	-103.39	20.64
1020	-99.16	19.41
1021	-99.12	19.275
1022	-99.105	19.255
1023	-100.315	25.69
1024	-99.115	19.27
1025	-99.075	19.325
1026	-99.14	19.46
1027	-99.09	19.435
1028	-100.285	25.66
1029	-99.09	19.47
1030	-99.165	19.495
1031	-99.135	19.41
1032	-103.37	20.68
1033	-99.12	19.49
1034	-100.37	25.71
1035	-103.32	41.84
1036	-99.1	19.49
1037	-99.155	19.35
1038	-99.225	19.44
1039	-103.4	20.68
1040	-99.295	19.365
1041	-99.115	19.46
1042	-99.105	19.47
1043	-99.11	19.365
1044	-103.27	20.68
1045	-99.125	19.33
1046	-99.115	19.395
1047	-99.145	41.717
1048	-99.115	19.245
1049	-99.12	19.415
1050	-99.115	41.748
1051	-100.31	25.66
1052	-99.285	19.36
1053	-99.125	19.395
1054	-99.12	19.295
1055	-100.28	25.64
1056	-103.325	20.655
1057	-99.075	19.49
1058	-103.38	20.655
1059	-99.21	19.375
1060	-99.13	19.405
1061	-100.28	25.725
1062	-103.365	20.685
1063	-103.405	20.665
1064	-99.085	19.485
1065	-99.085	19.41
1066	-99.245	19.53
1067	-100.33	25.67
1068	-99.105	19.49
1069	-100.285	25.63
1070	-100.315	25.785
1071	-100.26	25.595
1072	-100.285	25.655
1073	-99.3	19.35
1074	-99.125	19.405
1075	-99.175	19.28
1076	-99.155	19.475
1077	-99.15	41.778
1078	-99.16	19.49
1079	-99.28	19.365
1080	-99.075	19.305
1081	-103.365	20.695
1082	-103.35	20.66
1083	-99.115	19.35
1084	-99.055	19.29
1085	-99.185	19.415
1086	-99.2	19.485
1087	-99.3	19.37
1088	-99.225	19.33
1089	-103.32	20.655
1090	-100.285	41.845
1091	-103.38	20.64
1092	-99.125	19.505
1093	-100.305	25.645
1094	-99.175	19.485
1095	-99.055	19.32
1096	-99.16	19.355
1097	-103.3	20.695
1098	-99.13	19.275
1099	-100.35	25.685
1100	-99.11	19.31
1101	-99.145	19.295
1102	-99.145	19.305
1103	-100.375	25.715
1104	-99.155	19.46
1105	-99.065	41.717
1106	-99.135	19.555
1107	-99.12	41.778
1108	-103.315	20.655
1109	-100.295	25.65
1110	-99.215	19.365
1111	-99.115	19.44
1112	-99.1	19.435
1113	-100.28	25.625
1114	-99.195	19.355
1115	-99.08	19.35
1116	-99.105	19.325
1117	-99.11	19.485
1118	-100.34	25.675
1119	-103.345	20.715
1120	-103.31	20.685
1121	-99.085	19.39
1122	-103.345	20.71
1123	-100.34	25.75
1124	-99.22	19.425
1125	-99.21	19.345
1126	-99.12	19.475
1127	-99.07	19.49
1128	-99.12	19.455
1129	-99.14	19.55
1130	-99.265	19.385
1131	-99.135	19.35
1132	-103.35	20.655
1133	-99.14	19.555
1134	-99.065	19.395
1135	-99.07	41.748
1136	-100.375	25.735
1137	-99.15	19.455
1138	-99.01	19.255
1139	-99.15	19.405
1140	-99.08	19.295
1141	-100.39	25.73
1142	-99.15	19.46
1143	-99.17	19.47
1144	-99.12	19.435
1145	-103.37	20.625
1146	-103.33	20.695
1147	-103.395	20.69
1148	-99.07	19.205
1149	-103.395	20.64
1150	-103.405	20.635
1151	-99.015	19.295
1152	-99.065	19.315
1153	-100.265	25.595
1154	-103.3	20.655
1155	-99.215	19.305
1156	-103.32	20.68
1157	-103.4	20.625
1158	-99.255	19.375
1159	-100.35	25.68
1160	-100.29	25.65
1161	-100.39	25.755
1162	-99.08	19.31
1163	-103.355	20.67
1164	-103.38	20.705
1165	-100.315	25.695
1166	-99.21	19.39
1167	-103.38	20.715
1168	-99.14	19.28
1169	-98.995	19.265
1170	-99.115	19.295
1171	-99.125	19.245
1172	-98.97	19.37
1173	-103.375	20.615
1174	-100.375	25.77
1175	-99.095	19.495
1176	-99.235	19.365
1177	-103.275	20.66
1178	-103.295	20.69
1179	-100.325	25.675
1180	-100.34	25.705
1181	-103.29	20.68
1182	-103.32	20.675
1183	-99.115	19.42
1184	-103.38	20.63
1185	-99.21	19.36
1186	-99.095	41.778
1187	-100.3	25.67
1188	-100.285	25.67
1189	-100.285	25.69
1190	-99.13	19.555
1191	-103.335	20.67
1192	-99.06	19.41
1193	-103.33	20.675
1194	-99.23	19.405
1195	-100.285	25.705
1196	-98.58	19.335
1197	-100.31	25.67
1198	-100.38	25.755
1199	-99.17	19.35
1200	-103.315	20.65
1201	-99.255	19.38
1202	-103.32	20.67
1203	-99.22	19.46
1204	-99.115	19.285
1205	-99.075	19.31
1206	-99.105	19.38
1207	-103.4	20.645
1208	-99.11	19.42
1209	-99.14	19.535
1210	-99.105	19.48
1211	-103.31	20.66
1212	-99.265	19.37
1213	-99.17	19.305
1214	-100.29	25.625
1215	-103.29	20.645
1216	-99.205	19.39
1217	-99.115	19.335
1218	-99.115	19.38
1219	-100.335	25.675
1220	-100.355	25.745
1221	-99.02	19.295
1222	-99.085	19.47
1223	-99.13	19.28
1224	-99.095	19.445
1225	-100.25	25.58
1226	-103.33	20.715
1227	-100.34	25.725
1228	-100.28	25.695
1229	-103.31	20.645
1230	-103.285	20.665
1231	-100.27	25.65
1232	-99.135	19.395
1233	-99.165	19.25
1234	-99.1	19.405
1235	-99.12	19.395
1236	-103.385	20.67
1237	-99.165	19.34
1238	-103.4	20.685
